conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,88E+18;Mon Jan 06 10:07:42 +0000 2025;0;Dirjen Dukcapil Tegaskan Pentingnya Efisiensi Anggaran pada Rapat Awal Tahun 2025 https://t.co/ooAvAaohAl;1,88E+18;;;in;;0;0;0;https://x.com/redaksihsb/status/1876209014947930618;1,56E+18;redaksihsb
1,88E+18;Mon Jan 06 09:58:39 +0000 2025;0;4. keempat melakukan efisiensi dalam penggunaan anggaran dan tidak ada mark-up atau penggelembungan anggaran. 5. Kelima menggunakan perjalanan dinas secara selektif.;1,88E+18;;MadiunBapas;in;;0;1;0;https://x.com/MadiunBapas/status/1876206739051471309;1,02E+18;MadiunBapas
1,88E+18;Mon Jan 06 08:15:42 +0000 2025;0;Perjanjian Kinerja secara berjenjang oleh setiap Pejabat Manajerial sebagai pengampu kegiatan;;;;;;;;;;;
1,88E+18;Mon Jan 06 07:59:45 +0000 2025;0;Lebih lanjut Yusril juga mengajak seluruh jajaran untuk melakukan efisiensi dalam penggunaan anggaran serta diingatkan untuk melaksanakan program kegiatan yang berdampak pada kesejahteraan masyarakat dan meningkatkan kualitas pelayanan publik.;1,88E+18;;RutanWonosobo;in;;0;1;0;https://x.com/RutanWonosobo/status/1876176818526703700;1383599330;RutanWonosobo
1,88E+18;Mon Jan 06 07:47:05 +0000 2025;0;4. Melakukan efisiensi dalam penggunaan anggaran dan tidak ada Mark Up/ penggelembungan anggaran yang tidak perlu. 5. Menggunakan perjalanan dinas secara efektif.;1,88E+18;;ImigrasiSumbawa;in;;0;1;0;https://x.com/ImigrasiSumbawa/status/1876173627395379561;1167503701;ImigrasiSumbawa
1,88E+18;Mon Jan 06 07:42:41 +0000 2025;0;Rapim OPD Pemprov Lampung Pj. Gubernur Samsudin Ajak Lakukan Efisiensi Anggaran Tahun 2025 dan Fokuskan Program pada Kebutuhan Rakyat https://t.co/To1Mw3QqyW https://t.co/MB5NWjFF83;1,88E+18;https://pbs.twimg.com/media/GgmA90CaUAA6h6E.jpg;;in;;0;0;0;https://x.com/pemprov_lampung/status/1876172521797767566;8,90E+17;pemprov_lampung
1,88E+18;Mon Jan 06 07:34:22 +0000 2025;0;Dalam amanatnya Menteri Koordinator menekankan pentingnya pencapaian kinerja terukur efisiensi anggaran serta peningkatan kualitas pelayanan publik yang berdampak nyata bagi masyarakat. #LapasCirebon #KemenkumhamJabar Lapas Cirebon Kemenkumham Jabar https://t.co/UoDz47nqxW;1,88E+18;https://pbs.twimg.com/media/Ggl_Ds8aMAICFre.jpg;lapas_cirebon;in;;0;1;0;https://x.com/lapas_cirebon/status/1876170430601637941;1,22E+18;lapas_cirebon
1,88E+18;Mon Jan 06 07:30:03 +0000 2025;0;(9) 4.Melakukan Efisiensi dalam Penggunaan Anggaran dan tidak ada Mark Up/ Penggelembungan anggaran yang tidak perlu. 5.Menggunakan Perjalanan Dinas secara Efektif. #kemenhumhamjabar #Masjuno;1,88E+18;;IMIGRASIKRW;in;;0;0;0;https://x.com/IMIGRASIKRW/status/1876169344595759382;3013996364;IMIGRASIKRW
1,88E+18;Mon Jan 06 07:21:51 +0000 2025;0;Dalam rangka meningkatkan efisiensi dan efektivitas penggunaan anggaran serta mempersiapkan pelaksanaan program kerja yang lebih terarah Kantor Imigrasi Jambi mengikuti Rapat Pembahasan Realisasi Anggaran TA 2024 dan perencanaan Program Kegiatan TA 2025 Senin (06/01). https://t.co/nAMEzOMltC;1,88E+18;https://pbs.twimg.com/media/Ggl74lgbsAAZT0g.jpg;imigrasi_jambi;in;;0;1;0;https://x.com/imigrasi_jambi/status/1876167279320408281;1,74E+18;imigrasi_jambi
1,88E+18;Mon Jan 06 07:21:50 +0000 2025;0;Jambi - Efisiensi Dan Efektivitas Penggunaan Anggaran dan Perencanaan Program Kegiatan TA 2025 Kantor Imigrasi Kelas I TPI Jambi mengikuti Rapat Pembahasan Realisasi Anggaran TA 2024 dan Pelaksanaan Program Kegiatan TA 2025 Senin (06/01). https://t.co/1V1RT2hYC2;1,88E+18;https://pbs.twimg.com/media/Ggl7ohzaUAA44_B.jpg;;in;;0;1;0;https://x.com/imigrasi_jambi/status/1876167274979332268;1,74E+18;imigrasi_jambi
